#lon lat slope aspect veg
11.40735 46.96077 15.92 195.77 1
11.41759 46.96077 14.43 162.59 1
11.42782 46.96077 14.43 162.59 1
11.43806 46.96077 17.04 146.85 2
11.44830 46.96077 15.62 141.57 10
11.45854 46.96077 2.58 192.99 10
11.46878 46.96077 16.03 305.29 10
11.47902 46.96077 16.03 305.29 10
11.48926 46.96077 18.67 318.84 10
11.49950 46.96077 12.74 322.41 1
11.50974 46.96077 4.70 110.75 1
11.51998 46.96077 4.70 110.75 1
11.53022 46.96077 20.05 126.36 8
11.54046 46.96077 17.49 139.60 2
11.55070 46.96077 8.38 167.30 2
11.56094 46.96077 1.93 270.00 2
11.57118 46.96077 1.93 270.00 2
11.58141 46.96077 8.90 337.57 10
11.59165 46.96077 14.56 342.56 10
11.60189 46.96077 18.42 336.16 10
11.61213 46.96077 18.42 336.16 10
11.62237 46.96077 21.37 323.34 2
11.63261 46.96077 19.17 321.95 1
11.64285 46.96077 14.81 332.55 1
11.65309 46.96077 12.74 6.86 1
11.66333 46.96077 12.74 6.86 1
11.67357 46.96077 8.71 356.40 1
11.68381 46.96077 8.79 279.82 1
11.69405 46.96077 8.65 250.25 1
11.70429 46.96077 8.65 250.25 1
11.71453 46.96077 8.97 231.62 1
11.72477 46.96077 10.91 208.21 1
11.73501 46.96077 14.14 167.62 1
11.74524 46.96077 20.27 137.17 1
11.75548 46.96077 20.27 137.17 1
11.76572 46.96077 22.36 128.04 1
11.77596 46.96077 13.74 149.66 1
11.78620 46.96077 12.88 230.37 1
11.79644 46.96077 12.88 230.37 1
11.80668 46.96077 11.82 202.88 1
11.81692 46.96077 14.57 127.73 1
11.82716 46.96077 17.05 126.61 1
11.83740 46.96077 14.26 165.94 1
11.84764 46.96077 14.26 165.94 1
11.85788 46.96077 15.35 160.77 1
11.86812 46.96077 14.83 166.21 8
11.87836 46.96077 14.51 143.84 2
11.88860 46.96077 14.51 143.84 2
11.89883 46.96077 19.20 118.64 8
11.90907 46.96077 16.83 123.40 10
11.91931 46.96077 3.93 144.34 2
11.92955 46.96077 16.88 293.01 2
11.93979 46.96077 16.88 293.01 2
11.95003 46.96077 22.02 300.31 10
11.96027 46.96077 17.76 308.44 10
11.97051 46.96077 12.35 321.02 1
11.98075 46.96077 12.35 321.02 1
11.99099 46.96077 10.89 327.90 1
12.00123 46.96077 13.00 324.12 1
12.01147 46.96077 15.46 314.63 1
12.02171 46.96077 4.42 346.62 1
12.03195 46.96077 4.42 346.62 1
12.04219 46.96077 14.87 123.68 1
12.05242 46.96077 23.24 131.67 1
12.06266 46.96077 15.35 144.90 10
12.07290 46.96077 11.91 253.33 10
12.08314 46.96077 11.91 253.33 10
12.09338 46.96077 14.41 267.52 1
12.10362 46.96077 10.62 251.42 1
12.11386 46.96077 8.76 243.31 1
12.12410 46.96077 8.76 243.31 1
12.13434 46.96077 3.93 254.47 1
12.14458 46.96077 6.58 348.57 1
11.17184 46.95054 7.81 144.05 1
11.20256 46.95054 8.92 74.62 1
11.21280 46.95054 12.81 84.16 1
11.22304 46.95054 10.75 106.96 1
11.23328 46.95054 11.93 146.14 1
11.24352 46.95054 11.93 146.14 1
11.25376 46.95054 18.17 179.56 1
11.26400 46.95054 22.05 202.69 1
11.27423 46.95054 13.79 192.54 1
11.28447 46.95054 13.79 192.54 1
11.29471 46.95054 5.02 110.65 1
11.30495 46.95054 17.76 17.09 1
11.31519 46.95054 18.30 21.97 1
11.32543 46.95054 19.27 33.68 7
11.33567 46.95054 19.27 33.68 7
11.34591 46.95054 16.42 30.83 10
11.35615 46.95054 10.47 31.16 10
11.36639 46.95054 2.90 49.40 10
11.37663 46.95054 7.04 189.79 2
11.38687 46.95054 7.04 189.79 2
11.39711 46.95054 17.85 197.60 11
11.40735 46.95054 23.50 189.73 8
11.41759 46.95054 22.57 175.84 8
11.42782 46.95054 22.57 175.84 8
11.43806 46.95054 18.40 158.69 10
11.44830 46.95054 8.77 170.62 2
11.45854 46.95054 13.18 280.27 10
11.46878 46.95054 20.95 295.33 10
11.47902 46.95054 20.95 295.33 10
11.48926 46.95054 17.98 310.56 1
11.49950 46.95054 10.44 356.46 1
11.50974 46.95054 16.76 81.45 1
11.51998 46.95054 16.76 81.45 1
11.53022 46.95054 20.26 99.24 8
11.54046 46.95054 6.14 94.74 2
11.55070 46.95054 10.39 320.36 10
11.56094 46.95054 19.73 327.91 10
11.57118 46.95054 19.73 327.91 10
11.58141 46.95054 23.87 339.15 10
11.59165 46.95054 24.50 345.82 1
11.60189 46.95054 22.89 343.43 1
11.61213 46.95054 22.89 343.43 1
11.62237 46.95054 17.56 334.24 1
11.63261 46.95054 8.45 319.03 1
11.64285 46.95054 4.26 258.77 1
11.65309 46.95054 3.31 153.71 1
11.66333 46.95054 3.31 153.71 1
11.67357 46.95054 0.86 102.06 1
11.68381 46.95054 3.81 280.59 1
11.69405 46.95054 5.67 229.80 1
11.70429 46.95054 5.67 229.80 1
11.71453 46.95054 8.60 212.04 1
11.72477 46.95054 9.94 185.45 1
11.73501 46.95054 10.84 161.00 1
11.74524 46.95054 12.41 118.86 1
11.75548 46.95054 12.41 118.86 1
11.76572 46.95054 15.54 93.84 1
11.77596 46.95054 6.86 95.18 7
11.78620 46.95054 11.14 251.80 1
11.79644 46.95054 11.14 251.80 1
11.80668 46.95054 10.57 252.90 1
11.81692 46.95054 4.68 91.93 1
11.82716 46.95054 17.25 83.27 1
11.83740 46.95054 16.69 83.59 10
11.84764 46.95054 16.69 83.59 10
11.85788 46.95054 8.22 83.79 2
11.86812 46.95054 3.52 18.14 10
11.87836 46.95054 7.96 357.54 10
11.88860 46.95054 14.04 115.34 2
11.89883 46.95054 14.04 115.34 2
11.90907 46.95054 12.63 89.81 10
11.91931 46.95054 3.84 289.04 10
11.92955 46.95054 20.95 277.65 10
11.93979 46.95054 20.95 277.65 10
11.95003 46.95054 19.23 279.92 10
11.96027 46.95054 11.46 273.18 10
11.97051 46.95054 6.70 253.49 1
11.98075 46.95054 6.75 248.42 1
11.99099 46.95054 6.75 248.42 1
12.00123 46.95054 9.15 256.07 1
12.01147 46.95054 9.36 242.68 1
12.02171 46.95054 12.15 139.66 1
12.03195 46.95054 12.15 139.66 1
12.04219 46.95054 24.24 123.95 1
12.05242 46.95054 21.98 129.47 10
12.06266 46.95054 10.91 168.52 2
12.07290 46.95054 17.14 228.29 10
12.08314 46.95054 17.14 228.29 10
12.09338 46.95054 19.03 216.87 1
12.10362 46.95054 18.46 209.37 1
12.11386 46.95054 17.89 206.61 1
12.12410 46.95054 17.89 206.61 1
12.13434 46.95054 16.33 209.18 1
12.14458 46.95054 13.30 228.95 1
12.15482 46.95054 0.91 193.60 1
11.16160 46.94030 11.92 197.36 1
11.17184 46.94030 11.67 181.63 1
11.18208 46.94030 3.56 190.99 1
11.19232 46.94030 3.56 190.99 1
11.21280 46.94030 16.42 64.92 1
11.22304 46.94030 14.14 59.88 1
11.23328 46.94030 13.79 64.05 1
11.24352 46.94030 13.79 64.05 1
11.25376 46.94030 11.01 99.50 8
11.26400 46.94030 16.01 189.96 11
11.27423 46.94030 24.70 197.44 1
11.28447 46.94030 20.75 198.75 1
11.29471 46.94030 20.75 198.75 1
11.30495 46.94030 10.87 208.85 1
11.31519 46.94030 1.88 65.77 1
11.32543 46.94030 12.10 49.02 1
11.33567 46.94030 12.10 49.02 1
11.34591 46.94030 15.47 48.88 1
11.35615 46.94030 12.53 16.29 8
11.36639 46.94030 14.67 0.93 1
11.37663 46.94030 16.58 22.38 7
11.38687 46.94030 15.97 18.31 10
11.39711 46.94030 11.05 19.08 10
11.40735 46.94030 2.91 50.59 2
11.41759 46.94030 5.50 163.17 11
11.42782 46.94030 5.50 163.17 11
11.43806 46.94030 8.40 155.67 11
11.44830 46.94030 8.71 241.91 2
11.45854 46.94030 19.62 273.16 10
11.46878 46.94030 19.38 274.52 1
11.47902 46.94030 19.38 274.52 1
11.48926 46.94030 14.95 271.23 1
11.49950 46.94030 4.42 112.42 1
11.50974 46.94030 23.87 103.76 1
11.51998 46.94030 23.87 103.76 1
11.53022 46.94030 18.13 105.07 11
11.54046 46.94030 5.94 322.72 2
11.55070 46.94030 17.31 313.15 10
11.56094 46.94030 16.86 311.05 1
11.57118 46.94030 16.86 311.05 1
11.58141 46.94030 13.73 309.98 1
11.59165 46.94030 12.24 323.76 1
11.60189 46.94030 11.80 336.55 1
11.61213 46.94030 11.80 336.55 1
11.62237 46.94030 6.18 18.02 1
11.63261 46.94030 7.14 132.57 1
11.64285 46.94030 13.23 176.62 1
11.65309 46.94030 14.36 180.56 1
11.66333 46.94030 14.36 180.56 1
11.67357 46.94030 11.77 197.74 1
11.68381 46.94030 12.01 177.00 1
11.69405 46.94030 16.28 179.31 1
11.70429 46.94030 16.28 179.31 1
11.71453 46.94030 17.32 196.46 1
11.72477 46.94030 12.00 195.49 1
11.73501 46.94030 4.37 197.01 1
11.74524 46.94030 6.16 77.03 1
11.75548 46.94030 6.16 77.03 1
11.76572 46.94030 13.01 67.64 1
11.77596 46.94030 12.82 79.97 1
11.78620 46.94030 8.52 206.63 10
